Block,Lot,Address,Status,District
1,2,28 KITCHELL RD,Contributing,IS
1,7,46 KITCHELL RD,Contributing,IS
1,8,50 KITCHELL RD,Contributing,IS
1,8.01,48 KITCHELL RD,Contributing,IS
2,5,622 SPRING VALLEY RD,Contributing,IS
2,6,630 SPRING VALLEY RD,Contributing,IS
2,7,632 SPRING VALLEY RD,Contributing,IS
2,8,638 SPRING VALLEY RD,Contributing,IS
2,12,668 SPRING VALLEY RD,Contributing,IS
2,14,110 KITCHELL RD,Contributing,IS
3,1,592 SPRING VALLEY RD,Contributing,IS
3,2,596 SPRING VALLEY RD,Contributing,IS
3,4,614 SPRING VALLEY RD,Contributing,IS
4,1,637 SPRING VALLEY RD,Contributing,HF
4,2,241 BLUE MILL RD,Non Contributing,SL
4,3,233 BLUE MILL RD,Contributing,SL
4,4,229 BLUE MILL RD,Contributing,SL
4,5,213 BLUE MILL RD,Contributing,SL
4,6,191 BLUE MILL RD,Non Contributing,SL
4,7,8 RED GATE RD,Non Contributing,SL
4,8,20 RED GATE RD,Non Contributing,SL
4,9,28 RED GATE RD,Vacant,SL
4,11,48 RED GATE RD,Contributing,SL
4,12,52 RED GATE RD,Contributing,SL
4,13,568 VAN BEUREN RD,Non Contributing,SL
4,14,604 VAN BEUREN RD,Key Contributing,SL
4,14.04,576 VAN BEUREN RD,Non Contributing,SL
4,14.07,602 VAN BEUREN RD,Non Contributing,SL
4,16.01,612 VAN BEUREN RD,Contributing,IS
4,26,201 BLUE MILL RD,Non Contributing,IS
4,27,203 BLUE MILL RD,Contributing,SL
4,31,11 HARTLEY FARMS RD,Vacant,HF
4,32,601 SPRING VALLEY RD,Vacant,HF
4,33,623 SPRING VALLEY RD,Contributing,HF
4,34,607 SPRING VALLEY RD,Non Contributing,HF
4,35,613 SPRING VALLEY RD,Contributing,HF
4,36,1 HARTLEY FARMS RD,Contributing,HF
4,37,3 HARTLEY FARMS RD,Contributing,HF
4,38,9 HARTLEY FARMS RD,Contributing,HF
4,39,5 HARTLEY FARMS RD,Vacant,HF
4,41,HARTLEY FARMS RD (ROADWAY,Vacant,HF
4,44,2 HARTLEY FARMS RD,Vacant,HF
4,45,4 HARTLEY FARMS RD,Vacant,HF
4,46,631 SPRING VALLEY RD,Vacant,HF
4,48,2 MAYFIELD ROAD,Non Contributing,HF
4,49,3 MAYFIELD ROAD,Non Contributing,HF
4,50,1 MAYFIELD ROAD,Vacant,HF
4,51,6 HARTLEY FARMS RD,Non Contributing,HF
4,52,8 HARTLEY FARMS RD,Vacant,HF
4,53,7 BATTLEFIELD DRIVE,Vacant,HF
4,54,1 BATTLEFIELD DRIVE,Vacant,HF
4,55,10 HARTLEY FARMS RD,Non Contributing,HF
