Total rows found:  107  Matching rows:  107

====== Summary of Historic Property for Sale in Harding Township ======
                      Tue Apr  7 16:00:16 2020

@Address@10 Green St, Morristown, 07960@
@Address@28 Beechwood Dr, Morris Twp, 07960@
@Address@7 Parker Rd, Morris Twp, 07960@
@Address@27 Washington Valley Rd, Mendham Township, 07960@
@Address@60 Spring Brook Rd, Morris Twp, 07960@
@Address@9 Blue Stone Ter, Morris Twp, 07960@
@Address@320 S Street 1C Unit C, Morristown, 07960@
@Address@76 Childs Rd, Bernards Twp, 07920@
@Address@11 Ferndale Rd, Madison, 07940@
@Address@232 Chestnut Ave, Bernardsville, 07924@
@Address@6 and 7 Coach and Four Ln, Harding Township, 07976@
@Address@19 Hilltop Cir, Morris Twp, 07960@
@Address@12 Aspen Way, Morris Twp, 07960@
@Address@12 Winding Way, Morris Twp, 07960@
@Address@93 Lees Hill Rd, Harding Township, 07920@
@Address@7 Hawks Nest Ln, Harding Township, 07935@
@Address@375 South St, Morris Twp, 07960@
@Address@233 Western Ave, Morris Twp, 07960@
@Address@631 Spring Valley Rd, Harding Township, 07960@
@Address@139 Pleasantville Rd, Harding Township, 07976@
@Address@15 Orchard St, Madison, 07940@
@Address@2 Shephard Pl, Morris Twp, 07960@
@Address@15 Leddell Rd, Mendham Township, 07945@
@Address@33 Olde Town Ct, Bernardsville, 07924@
@Address@38 Headley Rd, Morristown, 07960@
@Address@566 Tempe Wick Rd, Harding Township, 07960@
@Address@3 Rolling Hill Dr, Morris Twp, 07960@
@Address@3 Carolyn Ct, Morristown, 07960@
@Address@156 Pleasantville Rd, Harding Township, 07976@
@Address@14 Arbor Way, Morris Twp, 07960@
@Address@63 5 Wetmore Ave, Morristown, 07960@
@Address@3 Forest Dr, Morristown, 07960@
@Address@21 Ellsworth Ave, Morris Twp, 07960@
@Address@9 Spring House Ln, Harding Township, 07960@
@Address@37 Ravenswood Ln, Harding Township, 07960@
@Address@8 Spring Hollow Ln, Harding Township, 07920@
@Address@67 Redner Rd Unit 67, Morris Twp, 07960@
@Address@10 Whispering Meadows Dr, Morris Twp, 07960@
@Address@58 Keats Way, Morris Twp, 07960@
@Address@31 Roscoe Ave, Madison, 07940@
@Address@63 Village Rd, Harding Township, 07960@
@Address@37 Morgan Dr, Harding Township, 07976@
@Address@21 Old Mendham Rd, Morris Township, 07960@
@Address@35 Meyersville Rd, Harding Township, 07935@
@Address@19 Fox Hunt Rd, Harding Township, 07920@
@Address@18 Robertson Ct Unit 18, Morristown, 07960@
@Address@607 Spring Valley Rd, Harding Township, 07960@
@Address@27 Whitney Farm Pl Unit C, Morris Twp, 07960@
@Address@579 Van Beuren Rd, Harding Township, 07960@
@Address@43 Britten Rd, Chatham Township, 07935@
@Address@7 Military Hill Dr, Harding Township, 07960@
@Address@6 Brigade Hill Rd, Morris Twp, 07960@
@Address@35 Meadow Ln, Harding Township, 07960@
@Address@151 MT Kemble Ave, Morris Twp, 07960@
@Address@51 Post House Rd, Harding Township, 07960@
@Address@137 Lees Hill Rd, Harding Township, 07976@
@Address@22 Howland Ter, Morris Twp, 07960@
@Address@3 Westminster Pl, Morris Twp, 07960@
@Address@23 Van Cortland Way, Bernards Twp, 07920@
@Address@28 Albert Ave, Morris Twp, 07960@
@Address@6 Harvey Ct, Morris Twp, 07960@
@Address@38 Maple Run, Bernards Twp, 07920@
@Address@20 Spencer Pl, Harding Township, 07960@
@Address@121 Lees Hill Rd, Harding Township, 07920@
@Address@2 Fawn Hill Dr, Harding Township, 07976@
@Address@51 Headley Rd, Morristown, 07960@
@Address@129 Jenks Rd, Harding Township, 07960@
@Address@34 Woodland Rd, Harding Township, 07976@
@Address@16 Spring Brook Rd, Morris Twp, 07960@
@Address@23 Birch Dr, Bernards Twp, 07920@
@Address@131 Kitchell Rd, Morris Twp, 07960@
@Address@12 Loantaka Way, Madison, 07940@
@Address@68 Skyline Dr, Morris Twp, 07960@
@Address@Fox Hollow Rd, Morris Twp, 07960@
@Address@93 Overlook Rd, Morris Twp, 07960@
@Address@26 Peachcroft Rd, Harding Township, 07960@
@Address@55 Butternut Ln, Bernards Twp, 07920@
@Address@27 Roberts Cir, Bernards Twp, 07920@
@Address@142 Blue Mill Rd, Harding Township, 07960@
@Address@545 Green Village Rd, Harding Township, 07935@
@Address@168 Bungalow Ter, Long Hill Township, 07946@
@Address@34 Hunter Dr, Harding Township, 07960@
@Address@58 Frederick Pl, Morris Twp, 07960@
@Address@15 Fox Hollow Rd, Morris Twp, 07960@
@Address@282 MT Kemble Ave, Morris Twp, 07960@
@Address@44 Lake Trl E, Harding Township, 07976@
@Address@6 Dorado Dr Unit M, Morristown, 07960@
@Address@15 Manette Rd, Morris Twp, 07960@
@Address@27 Red Gate Rd, Harding Township, 07960@
@Address@11 Whispering Mdw, Morris Twp, 07960@
@Address@1 Post House Rd, Harding Township, 07960@
@Address@16 Riggs Ct, Bernards Twp, 07920@
@Address@502 Van Beuren Rd, Harding Township, 07960@
@Address@19 Village Rd, Harding Township, 07976@
@Address@6 Great Oaks Rd, Harding Township, 07976@
@Address@1 Hartley Farms Rd, Harding Township, 07960@
@Address@613 Spring Valley Rd, Harding Township, 07976@
@Address@3 Thanksgiving Rd, Harding Township, 07976@
@Address@1 Thanksgiving Rd, Harding Township, 07976@
@Address@207 Blue Mill Rd, Harding Township, 07976@
@Address@5 Laurel Way, Madison, 07940@
@Address@11 Colgate Ter, Harding Township, 07960@
@Address@2 Pinefield Ln, Harding Township, 07976@
@Address@11 Pinefield Ln, Harding Township, 07976@
@Address@158 Pleasantville Rd, Harding Township, 07976@
@Address@65 Village Rd, Harding Township, 07976@
@Address@21 Sand Spring Rd, Harding Township, 07960@
@28 Kitchell Rd@10 Green St, Morristown, 07960@
@28 Kitchell Rd@28 Beechwood Dr, Morris Twp, 07960@
@28 Kitchell Rd@7 Parker Rd, Morris Twp, 07960@
@28 Kitchell Rd@27 Washington Valley Rd, Mendham Township, 07960@
@28 Kitchell Rd@60 Spring Brook Rd, Morris Twp, 07960@
@28 Kitchell Rd@9 Blue Stone Ter, Morris Twp, 07960@
@28 Kitchell Rd@320 S Street 1C Unit C, Morristown, 07960@
@28 Kitchell Rd@76 Childs Rd, Bernards Twp, 07920@
@28 Kitchell Rd@11 Ferndale Rd, Madison, 07940@
@28 Kitchell Rd@232 Chestnut Ave, Bernardsville, 07924@
@28 Kitchell Rd@6 and 7 Coach and Four Ln, Harding Township, 07976@
@28 Kitchell Rd@19 Hilltop Cir, Morris Twp, 07960@
@28 Kitchell Rd@12 Aspen Way, Morris Twp, 07960@
@28 Kitchell Rd@12 Winding Way, Morris Twp, 07960@
@28 Kitchell Rd@93 Lees Hill Rd, Harding Township, 07920@
@28 Kitchell Rd@7 Hawks Nest Ln, Harding Township, 07935@
@28 Kitchell Rd@375 South St, Morris Twp, 07960@
@28 Kitchell Rd@233 Western Ave, Morris Twp, 07960@
@28 Kitchell Rd@631 Spring Valley Rd, Harding Township, 07960@
@28 Kitchell Rd@139 Pleasantville Rd, Harding Township, 07976@
@28 Kitchell Rd@15 Orchard St, Madison, 07940@
@28 Kitchell Rd@2 Shephard Pl, Morris Twp, 07960@
@28 Kitchell Rd@15 Leddell Rd, Mendham Township, 07945@
@28 Kitchell Rd@33 Olde Town Ct, Bernardsville, 07924@
@28 Kitchell Rd@38 Headley Rd, Morristown, 07960@
@28 Kitchell Rd@566 Tempe Wick Rd, Harding Township, 07960@
@28 Kitchell Rd@3 Rolling Hill Dr, Morris Twp, 07960@
@28 Kitchell Rd@3 Carolyn Ct, Morristown, 07960@
@28 Kitchell Rd@156 Pleasantville Rd, Harding Township, 07976@
@28 Kitchell Rd@14 Arbor Way, Morris Twp, 07960@
@28 Kitchell Rd@63 5 Wetmore Ave, Morristown, 07960@
@28 Kitchell Rd@3 Forest Dr, Morristown, 07960@
@28 Kitchell Rd@21 Ellsworth Ave, Morris Twp, 07960@
@28 Kitchell Rd@9 Spring House Ln, Harding Township, 07960@
@28 Kitchell Rd@37 Ravenswood Ln, Harding Township, 07960@
@28 Kitchell Rd@8 Spring Hollow Ln, Harding Township, 07920@
@28 Kitchell Rd@67 Redner Rd Unit 67, Morris Twp, 07960@
@28 Kitchell Rd@10 Whispering Meadows Dr, Morris Twp, 07960@
@28 Kitchell Rd@58 Keats Way, Morris Twp, 07960@
@28 Kitchell Rd@31 Roscoe Ave, Madison, 07940@
@28 Kitchell Rd@63 Village Rd, Harding Township, 07960@
@28 Kitchell Rd@37 Morgan Dr, Harding Township, 07976@
@28 Kitchell Rd@21 Old Mendham Rd, Morris Township, 07960@
